Country_Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.14768436,39.77914418,1.631258261,9.872203034,27.94215793,20.80856934,21.09544717,23.26567929,22.68635187,20.76888047,21.9223314,22.90435529,25.41829676,28.34794998,29.1225577,35.76543899,42.22545768,44.35162298,47.94283582,41.1450508,38.81475499,31.92179898,24.68095275,22.15249007,21.28304069,20.73053013,18.01550867,18.42174021,22.39973933,17.40852941,19.66383294,20.69111212,
American Samoa,ASM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.42261085,21.8038782,24.31575841,25.3058028,25.95678223,27.6304943,28.90648414,28.99784869,20.49692315,22.14814242,23.18068392,23.5173783,26.90079652,36.18401057,37.35417343,37.41359595,37.69044984,28.11551867,20.73824236,22.13058589,23.73107705,24.96374338,23.92843586,27.18257545,32.56721012,36.97354735,41.88007699,57.65196932,,
Australia,AUS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,31.57166075,33.13986571,28.4236564,30.82362729,30.69032046,33.53598068,32.61422361,32.92005445,32.9864083,33.63356028,32.97385178,32.09650253,30.42560833,28.38762771,30.56890096,26.80616369,26.42623187,26.96457528,25.81716766,27.85071284,27.0869394,28.67738273,29.83463743,25.30225437,26.63091294,28.00307441,28.47904256,27.35460304,27.96900515,29.60980775,28.94160728,24.21919391,22.34525348,23.6016973,24.27108939,25.99574032,24.79051969,24.85609779,25.6449204,26.16336331,26.27053884,23.40952559,24.42059484,25.95011299,27.07788148,27.47192748,27.52336561,27.52029801,28.61435284,27.36737281,26.78653729,26.4630715,27.72281386,27.88314726,26.73438021,26.28088991,25.41643088,24.10736013,24.55944883,23.30221775,22.24594349,22.76228971,
Austria,AUT,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,31.03814076,31.03141139,31.99834918,32.24418829,32.52408284,27.15860963,28.51178161,29.70124134,26.52774813,29.34455986,28.78083062,26.92647655,24.58013059,23.04242392,23.77499065,24.44925836,23.73376107,24.05756484,25.60419582,26.47053046,26.68930864,26.8975446,26.20273658,25.24619492,26.08212129,26.76323229,26.33767296,26.21365746,26.1056608,26.11755139,25.92697094,25.16076629,23.64265684,24.40874646,24.06102689,23.82524564,23.61032759,24.5843049,24.46746074,22.77532094,22.60784712,24.14047447,23.97710689,23.72339,23.53154279,23.80552569,24.25632596,24.8384193,25.72643543,25.34859295,25.64683077,27.77971672,
Azerbaijan,AZE,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53478854,3.106287425,-0.692931682,21.79745223,15.31305044,23.77917331,29.00168338,34.23677295,33.36627332,26.49466239,20.67357623,20.67687561,34.57649485,53.17148254,57.99043399,41.53483729,29.85938484,21.52500837,18.69363085,18.9486398,18.05957848,20.26784686,22.3167232,25.65793544,27.51003574,27.91357117,25.68133825,24.3789257,20.1294761,20.30777985,23.66595433,17.31358843,
Burundi,BDI,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,6.250000319,6.896551996,7.377048973,6.015037646,5.369127352,5.766593118,6.767566522,6.851483879,8.189644417,8.288770053,4.530794619,7.607678643,3.181696102,5.311823807,4.052299601,7.580076434,9.088417504,11.19641139,14.03688618,14.91621548,13.88576799,17.0061756,14.45739664,22.82679966,18.37083548,13.86112932,11.64423,22.61237161,15.0351399,16.46288679,14.53697686,14.40976319,10.63829807,11.54014928,6.974127152,6.363436388,8.209806157,6.096849475,6.771614193,5.88493632,2.78113771,4.468258563,3.948660199,7.868790037,10.34709713,18.20358769,18.51298572,15.1864583,13.40895869,18.97487302,17.16038243,16.34574756,16.33814469,14.63263852,14.20305716,12.16345825,9.23740997,8.806015605,11.10345859,14.1287,11.44597,13.11262,
Belgium,BEL,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,29.65668882,28.55708894,26.55953581,27.59357504,30.2930162,26.63223657,26.97558008,26.63427689,26.42134146,25.95757386,26.55511066,22.57300126,21.59879229,18.75908881,19.818269,18.97726223,18.5655924,19.63468777,21.8609745,23.52586536,24.34637344,22.84027614,22.59252526,21.93188944,22.01276848,21.79077206,21.63074679,22.30034159,22.34865908,22.68901182,23.7829613,22.6338255,20.74740198,20.96470771,22.66706017,23.6810632,23.97054911,24.60327415,25.93677033,22.1732846,23.12677669,24.50693916,23.68992583,22.4281969,23.13618772,23.62795037,24.25221229,24.45641513,25.4159758,25.01267119,24.33503695,26.0087165,
Benin,BEN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,11.42497178,10.96284084,11.10921134,11.61682918,9.734165832,8.777499711,8.778295118,11.82516305,12.3746563,12.66318808,11.59238015,10.28564363,13.36363688,13.07596876,18.23111591,19.30209116,16.65218578,17.75093422,16.06401038,19.0221797,15.15656795,15.67675224,27.60441693,17.32151508,12.78031782,8.939973748,13.46444464,12.92694051,15.63323062,11.81714414,14.06035642,14.47804469,13.62110874,16.05813651,17.80221471,21.41976714,17.55116797,18.54485643,18.15515708,18.22709373,16.00840245,17.75272025,14.83372253,15.16379004,15.21860513,12.08604489,12.87346512,16.376868,13.74042066,14.86571873,15.60808921,16.46255728,15.27631274,18.86187235,19.25758563,20.73186635,20.2720396,23.96042223,26.38651302,25.62980058,25.63384351,26.0081568,
Burkina Faso,BFA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,8.519938835,8.654232441,8.707800699,8.801236956,9.63910844,8.711953097,7.972084048,8.022715569,8.270184987,9.610307098,10.27003377,14.87390023,17.27749445,20.63106893,25.52317181,23.104222,22.84450386,19.56245445,18.3189338,16.40009385,15.10695056,14.13092965,17.92663493,17.13226585,14.16662848,22.95327815,20.13659159,19.22265641,18.78891127,20.41001717,18.91339663,21.2456099,19.30243347,19.45939738,27.16616165,23.92534288,24.94470713,27.39177838,24.17456283,17.29650159,14.57069906,13.54589787,13.45168488,15.45928136,15.51810381,17.56359353,16.12500563,18.25108478,20.73196245,19.99003226,21.990434,22.1235118,24.6529929,23.70991501,19.26224919,19.40669972,20.79554795,22.06183659,21.73910482,22.20834483,,,
Bangladesh,BGD,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,6.89426584,7.729411347,11.99040867,9.855628673,11.97516625,11.47627524,9.016898293,10.70870412,14.15480135,12.50836367,11.34465694,8.227827284,4.697696405,8.712006898,7.374857223,6.147905815,9.911362042,11.5232178,11.54679855,11.20387213,14.4393913,17.15576644,17.36327909,16.56273677,16.48425757,15.8309437,16.17645483,15.47344203,15.73598307,16.12091443,16.45867552,16.89594746,17.30502928,17.94683201,18.40255619,19.11979582,20.7299506,21.81621451,22.12141282,22.7213703,23.80856257,24.17430673,24.34141614,24.67918886,24.99183394,25.83043551,26.14414575,26.17849707,26.2022714,26.20605702,26.24665618,27.42097337,28.26233501,28.38962075,28.57787571,28.88668925,30.23976392,30.94687312,31.82257477,32.21372984,31.3079372,31.01873874,
Bulgaria,BGR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,33.99635532,35.48781365,34.12952814,32.88992641,33.20335071,32.19727998,35.87634137,32.90383863,34.41743534,33.10905728,25.58877829,22.59764186,19.88894422,15.28203413,9.391171994,17.72878244,1.157310989,9.727381637,18.70860503,19.84369964,19.04614349,21.35107179,20.52902088,22.07417339,23.43335211,27.73967166,32.05633531,33.60623366,36.92453897,28.53822071,22.52095241,21.35867529,21.88627011,21.00897451,21.50716609,20.99328062,18.95427187,19.80587409,21.21425937,20.99774981,20.33566723,21.07423708,
Bahrain,BHR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,46.12728607,41.61363602,36.27808579,43.85501994,42.58086483,35.6492608,26.62716738,25.45868163,20.1996983,24.63688305,16.42982897,28.59941234,29.41670399,18.30409656,19.63313176,14.60853026,14.40526585,17.44648693,21.42273451,7.905202165,16.57505906,15.7093969,23.34773062,23.73581036,20.51993544,26.73527374,30.38795365,34.71326042,34.94812409,26.14469719,27.28649313,22.40295749,28.14636897,25.9405926,26.84450421,25.53079047,29.15394357,32.9434239,35.26443844,32.63695481,35.27379142,,
"Bahamas, The",BHS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,12.51051893,11.34070159,12.8268106,18.28802516,18.84332282,21.46613445,20.33125577,16.34902749,19.17094063,18.42264914,18.79513702,,31.49967342,29.41471889,29.35689582,27.86137022,23.33958603,25.86069346,27.65500146,30.49376559,29.07920586,32.11223991,28.75243855,30.18521706,26.87359564,24.20854933,24.27371086,23.19086412,27.3367764,33.51643758,30.51041877,29.45563367,28.05360871,27.98600601,30.18335824,31.34182174,28.99325936,31.36604003,24.58206527,26.11917598,27.74001424,26.39348375,26.37423443,24.51878963,25.77931231,
Bosnia and Herzegovina,BIH,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98314608,41.2139014,41.99999937,38.00000028,27.99997931,29.7272486,30.97963278,30.8221183,29.68936053,29.89571011,28.7397822,25.2768166,29.84128125,31.695016,23.6484988,19.70876224,22.19988958,22.43641159,21.23358055,22.52586422,21.94745019,22.98890796,24.96944861,24.7733749,25.18807957,23.42528275,26.3435386,
Belarus,BLR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.51270208,33.33333333,31.52173913,41.01522843,32.93430001,24.74980025,23.519201,26.83695445,26.71196492,23.70676892,25.39867306,23.76085994,22.17685159,24.95432766,28.66730144,28.4604662,32.18413716,34.09190318,37.64165103,36.86404446,40.65636626,37.21759508,35.09427306,38.79802621,34.84103294,29.03469599,26.4775827,28.03035891,28.07887855,29.14999469,27.45506642,24.75152033,
Belize,BLZ,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,23.31475419,25.10424809,19.27676824,19.5611307,23.24196367,21.66314919,20.13211451,20.98108755,24.06098153,29.57039417,21.92902639,24.12353923,23.07137707,24.96671105,18.27608555,19.42577886,18.08573106,17.91474654,16.84901532,21.84615385,26.70250896,22.09802236,20.80291971,17.83513097,16.76862181,17.89257612,17.36242884,17.39386792,21.13938693,16.30467123,15.21426517,11.54163232,12.53284288,13.99359448,17.09541628,16.57995929,17.84370157,14.96062992,16.41468683,16.8011587,18.67788462,21.13184828,
Bermuda,BMU,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.04302674,12.58254206,11.01442918,10.89311134,12.094597,11.89258583,12.80320862,13.76364473,13.4097576,14.74851703,12.23828967,12.90899866,
Bolivia,BOL,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,16.38801523,16.83312846,20.13755981,20.41785375,14.58144958,23.02256952,19.18524887,19.1573373,24.69482195,20.83139342,16.6376068,16.05104809,15.62400863,13.23822871,19.67160545,19.46430574,13.55892428,13.50804268,13.98077853,11.58755744,12.53193671,15.57776925,16.70433587,16.56377524,14.37119505,15.24400306,16.23722127,19.63196904,23.60651171,18.77185208,18.14347869,14.26843447,16.29467339,13.23207231,11.02170315,14.25362163,13.86533111,15.18665485,17.55274006,16.97126097,17.00701846,19.81555243,17.67299199,19.01772689,21.03379703,20.28127686,21.05736185,22.22028633,20.59635257,19.8750109,15.7781295,16.83475417,
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.52322694,18.83546651,20.31267384,19.03969658,18.82260417,19.42185024,19.03438503,16.64955365,18.88713354,22.52493339,20.54200071,21.26251488,21.20854719,22.04473464,24.31146402,25.69759213,23.04211984,22.04751885,23.03312674,23.13792772,23.11350626,23.58030275,21.89985654,17.88251277,17.46922541,20.29909322,19.96083966,23.17360166,24.34422669,26.90278704,20.16770896,19.76876887,18.93453994,20.84635521,22.14556295,17.29234635,17.26694638,17.76398561,18.16475192,17.38955974,18.90311927,18.7418603,17.44907948,16.8566884,17.91256834,17.20488346,17.81647393,19.81932599,21.61938283,18.79613508,21.80132159,21.82627113,21.41722538,21.69376696,20.54841077,17.41162587,14.96954697,14.6255876,15.09504163,15.51679083,15.93062205,18.91975016,
Barbados,BRB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,19.22711926,27.00843409,24.00977493,22.88458339,23.53333828,20.83988212,23.4270415,19.24391286,16.94690265,13.80583241,13.11463845,13.61066495,13.61435239,14.90126166,16.26517968,14.92957746,13.37844488,7.031170158,9.585542169,11.07695863,12.09688271,12.11190576,15.41492537,18.9163431,19.51322217,18.10753391,15.62612539,17.40222115,18.26452718,19.23646393,18.91870664,21.27125585,18.9751345,18.29670646,16.95245961,15.88032972,17.05529218,16.18023573,16.52265286,16.53402715,16.8885884,16.38508266,15.62103208,14.26249968,14.4949993,18.17821825,18.26252116,
Brunei Darussalam,BRN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.58289712,18.68045761,20.62548866,23.25752018,29.6502864,28.65609483,36.66169896,41.31429364,35.49306725,33.80530973,21.38001796,13.05791927,14.42999304,21.25972436,15.0554608,13.48643844,11.36670446,10.43740192,12.98480375,13.66807367,17.55651355,23.6918138,26.02240055,32.88336825,39.59097133,27.44234569,35.24580943,34.61965456,34.80471468,41.06583411,38.6777535,40.58783027,31.27256747,
Bhutan,BTN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,31.52673295,33.76512375,37.06304036,40.70230386,39.50635388,45.92836356,43.86979134,38.43142155,40.06760836,33.8043371,27.8570302,32.42718724,39.98537612,41.08680798,48.91497173,44.71691596,37.45970456,27.21326604,31.3105534,35.24741052,50.34362972,62.56872691,62.11977823,60.6931954,66.49511574,54.03528615,48.11004606,30.03429982,43.98433153,46.95935137,63.20533268,69.28900342,69.47258385,47.18164746,53.43601845,55.46128799,57.26905251,52.09208022,47.61688436,37.86352733,33.08020581,35.82885847,
Botswana,BWA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,6.015737723,7.399437813,8.799062314,9.807095197,12.28287051,13.26219512,21.81571816,25.44620031,30.73684211,38.25382538,45.32269761,50.44052863,50.94413847,50.89997049,47.87208464,41.89986674,33.77125193,33.46482577,36.36363636,37.21939539,40.05214966,43.40567613,37.65848524,29.38912004,29.44353062,22.99441288,21.48534526,15.50083346,23.58451549,36.10818292,37.36697697,33.2101747,30.41930063,28.77953098,25.98254421,27.13013375,23.44352121,24.0519866,37.93667259,25.62595125,29.55108039,29.88813662,30.19380521,30.14300742,31.351443,25.37413389,21.69278159,23.07475686,35.4683348,32.62990767,34.70210913,39.11811505,35.99986178,24.87932872,25.25306257,28.44328922,22.06767984,25.00589632,25.90287964,30.87568728,32.79353385,28.94814395,
Central African Republic,CAF,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,19.63635583,21.19205263,23.27869317,21.76655686,22.12643584,21.40921409,21.13401804,21.83623325,16.21911628,16.365681,17.98367251,18.74860653,18.43350918,20.84581973,15.5018227,13.80130839,11.96626004,11.55393597,10.88687069,9.794197902,7.007125589,8.739405813,6.669374574,11.83265505,12.30714187,15.38406105,12.77946311,12.63111525,10.50941213,11.75584426,12.70805981,12.6480118,12.40250132,10.57848181,11.70605363,14.11903115,7.275021434,10.08018914,11.01276891,12.9619644,11.07229594,10.24082921,9.624946666,6.404792507,6.812138026,9.864817356,10.23421102,10.68724058,12.72849237,13.20417248,16.8437813,13.70846447,10.83397513,7.515324022,21.99079072,21.80538045,22.46346795,25.6012512,26,26,26,26,
Canada,CAN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,22.68395025,23.25215513,23.08031086,24.05227602,26.48280298,27.17303992,24.47439155,23.54808709,24.26165251,22.19884165,23.17426315,23.20425342,24.40933658,25.9383454,24.91913215,25.2013532,24.36974663,23.57389484,25.22629305,23.84272628,25.38127756,19.99648373,20.29969668,21.03975509,21.61802941,21.77042616,22.27123789,23.59989814,23.70012526,21.38118924,19.41100002,18.43945482,18.53525613,19.57702718,19.44224963,18.98980541,21.21800208,21.04527298,20.68424285,20.61446771,19.67139493,19.73934541,20.46667761,21.38286053,22.63204211,23.59589302,23.90787622,24.07250278,21.95949429,23.4820047,24.15145347,24.8675436,24.90767507,24.87070761,23.82159339,22.76112016,23.55046923,23.1535753,22.98258032,22.25706963,23.74012737,
Central Europe and the Baltics,CEB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05723404,24.83622165,25.84861029,26.14386808,25.3761783,25.46967182,24.2591411,23.46484438,23.73089659,25.02636164,24.79208385,26.66267636,28.9393658,28.62398607,22.96771557,23.05272607,23.85980132,22.54135355,21.61816779,22.60549043,23.17559636,21.90472445,22.22221035,23.41418318,23.2921171,22.03033952,24.50710203,
Switzerland,CHE,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,34.08989793,31.37654947,31.07451865,31.51201052,29.0521025,29.82917696,31.89959948,31.47427478,32.50304305,33.23798309,34.91963409,31.7129837,28.96460351,27.58205085,28.31869532,28.06369642,27.60826077,26.09019169,27.41310524,27.08027195,27.23419109,27.695137,26.21494022,25.98441819,24.54846447,27.189219,27.91893406,26.7888146,27.41202622,28.34198949,25.8955592,28.49241873,26.660229,25.15493396,25.55319604,25.07486328,25.5619284,26.04431434,25.73445323,26.4377929,29.79943162,26.04990897,
Channel Islands,CHI,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,14.07684123,15.51360149,12.73327147,15.30431628,14.63274762,15.45969017,16.83721903,16.64350149,16.95191378,15.70381417,17.1282883,15.23188816,12.80811085,8.553731908,22.1529249,13.99438271,13.57252812,15.30133021,18.91539964,18.7418211,22.10260864,23.43476367,11.71796049,12.15699214,19.3081832,17.04520532,18.86842175,22.3546766,23.1475919,25.80074685,25.94896473,23.57983019,25.18242361,28.14629716,25.73130213,27.67004583,29.88121126,29.85926565,28.61868628,22.55047469,23.75075555,24.09121391,24.10838781,23.39913543,21.24322728,23.26770087,22.18632039,22.34802267,28.89694247,22.92000792,24.77546766,26.64629672,28.79134947,27.4969588,25.15809342,25.59943795,23.70879029,22.63666996,24.20307842,25.05456759,21.63438154,25.32356166,
China,CHN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,39.58464578,22.80526327,15.73732059,21.76186304,24.34744351,27.10143174,30.45445009,23.86259492,24.9353816,25.00873278,32.86947671,33.63782808,31.24831526,32.95602337,33.20619444,35.03571856,33.21976061,33.87895996,37.60381373,36.29690312,34.60519308,32.94874956,31.98010242,31.92586289,34.37840615,39.06410689,37.72700169,37.32087978,39.07830939,37.20868678,34.15784885,35.23636005,39.07186801,43.28314976,40.05028547,38.8377198,37.54172047,35.52294565,34.81368233,34.10970891,33.57302849,35.54159672,36.15344344,39.62013059,41.84719726,40.34614955,39.9103387,40.48219017,42.26902681,45.35623583,46.5561547,46.6601211,46.2252656,46.39894934,45.82395276,43.23480666,42.63137693,43.01329739,43.79347517,43.25110564,43.36667433,42.83554946,
Cote d'Ivoire,CIV,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,16.72493469,19.84098339,13.88956778,17.78283022,21.84455323,21.87222786,21.82034643,19.78228194,17.81210511,19.52529038,22.49565293,21.8019049,20.87534817,23.18011006,22.01623856,22.44457888,22.98922739,27.33238036,29.76217101,27.96544933,26.53611796,25.94047338,23.18829037,18.41277178,11.6507777,12.95138474,12.06341005,12.31724466,12.65035275,8.90395595,6.688803339,7.358001161,6.923884602,9.793071084,13.71571807,15.59844581,13.01925311,16.52857669,20.27214033,14.62669184,15.89240727,14.22034092,12.02347548,13.9684419,14.71829264,13.84214145,14.18082712,13.72627351,18.18002069,14.74354959,21.68105453,16.59371891,20.4508171,22.90980133,22.62045583,23.48476251,21.74283843,20.12192618,21.21242497,20.05864446,21.4980131,23.58254793,
Cameroon,CMR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,12.53132773,13.34289846,13.76465562,13.35907349,10.69556094,16.02765631,16.64710262,18.24678108,19.89145697,17.08068633,19.97386587,17.58845253,28.48920857,31.24881269,28.52036987,20.98283879,27.18770913,24.79631653,25.97784573,25.94366095,24.88494696,25.51283406,24.69976327,20.89731229,17.09601256,17.81197837,16.67265481,14.30538628,13.76162443,16.61161628,17.53960631,17.36664751,17.68394047,18.45340497,17.6692974,17.19233057,18.7740622,19.44139442,18.09473617,18.86781432,18.67092549,17.77585985,18.37844965,19.75405433,18.55968537,18.22844404,18.73240082,18.00073817,18.65154597,19.72783434,18.24985549,19.81805484,19.4451374,19.53802964,18.9346455,17.66054398,18.87378503,
